"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", -9, 0, 0, -9
"Total", "-", -9, 0, 0, -9
