"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 2, 0, 2, 4
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 12, 0, -1, 11
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Languages.js", "JavaScript", 219, 8, 24, 251
"Total", "-", 233, 8, 25, 266
