"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", -107, -5, -8, -120
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Authors.js", "JavaScript", 134, 5, 10, 149
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 32, 0, 2, 34
"Total", "-", 59, 0, 4, 63
