"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 2, 0, 0, 2
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 12, 0, 0, 12
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 55, 0, 4, 59
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Languages.js", "JavaScript", -4, 0, 0, -4
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Publisher.js", "JavaScript", -4, 0, 0, -4
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Subjects.js", "JavaScript", 205, 8, 24, 237
"Total", "-", 266, 8, 28, 302
