"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 2, 0, 0, 2
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 12, 0, 0, 12
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.js", "JavaScript", 19, 0, 1, 20
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 81, -1, 7, 87
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\EditBook.js", "JavaScript", 30, 0, 1, 31
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Publisher.js", "JavaScript", 223, 8, 24, 255
"Total", "-", 367, 7, 33, 407
