"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.css", "CSS", 12, 0, 0, 0, 12
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.css", "CSS", -6, 0, 0, 0, -6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.css", "CSS", -6, 0, -1, -1, -8
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.css", "CSS", 10, 0, 0, 1, 11
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\styles.css", "CSS", 10, 0, 0, 1, 11
"Total", "-", 20, 2, -1, 1, 22
