"filename", "language", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package-lock.json", "JSON", 373, 0, 0, 0, 0, 373
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.css", "CSS", 0, 0, 2, 0, 0, 2
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 0, -14, 0, 0, 0, -14
"Total", "-", 374, -14, 2, 0, 0, 362
