"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", -13, -1, -3, -17
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.js", "JavaScript", 24, 0, 2, 26
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 69, 3, 3, 75
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\EditBook.js", "JavaScript", 36, 3, 2, 41
"Total", "-", 116, 5, 4, 125
