"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.css", "CSS", 0, 0, 0, 0, 69, 0, 2, 14, 85
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 13, 98
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\EditBook.js", "JavaScript", 121, 0, 0, 0, 0, 0, 1, 9, 131
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.css", "CSS", 0, 0, 0, 0, 64, 0, 3, 13, 80
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.js", "JavaScript", 86, 0, 0, 0, 0, 0, 3, 12, 101
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.css", "CSS", 0, 0, 0, 0, 50, 0, 1, 9, 60
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.js", "JavaScript", 74, 0, 0, 0, 0, 0, 3, 11, 88
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.css", "CSS", 0, 0, 0, 0, 164, 0, 15, 29, 208
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.js", "JavaScript", 170, 0, 0, 0, 0, 0, 1, 13, 184
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.css", "CSS", 0, 0, 0, 0, 45, 0, 1, 8, 54
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.js", "JavaScript", 66, 0, 0, 0, 0, 0, 1, 8, 75
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.css", "CSS", 0, 0, 0, 0, 81, 0, 3, 15, 99
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 20, 198
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\firebase.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.css", "CSS", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\styles.css", "CSS", 0, 0, 0, 0, 95, 0, 15, 28, 138
"c:\Users\anxoa\WebstormProjects\library-app-alpha\tailwind.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 4, 19
"Total", "-", 2368, 38, 33721, 28, 797, 20, 144, 464, 37580
